year,tons,commodity,ton_km,avg_haul_km
1996,,Clinker,,
1996,,Coal,,
1996,,Ferronickel,,
1996,5822301.0,General,2219008742.0,381.1222988986657
1996,,Heavy,,
1996,,JRContainer,,
1996,,OtherHeavy,,
1996,,ParcelContainer,,
1996,,Slag,,
1997,,Clinker,,
1997,,Coal,,
1997,,Ferronickel,,
1997,6350040.0,General,2404057485.0,378.58934510648754
1997,,Heavy,,
1997,,JRContainer,,
1997,,OtherHeavy,,
1997,,ParcelContainer,,
1997,,Slag,,
1998,,Clinker,,
1998,,Coal,,
1998,,Ferronickel,,
1998,6916406.0,General,2563000926.0,370.56831626136466
1998,,Heavy,,
1998,,JRContainer,,
1998,,OtherHeavy,,
1998,,ParcelContainer,,
1998,,Slag,,
1999,,Clinker,,
1999,,Coal,,
1999,,Ferronickel,,
1999,7648361.0,General,2772177443.0,362.4537914724475
1999,,Heavy,,
1999,,JRContainer,,
1999,,OtherHeavy,,
1999,,ParcelContainer,,
1999,,Slag,,
2000,,Clinker,,
2000,,Coal,,
2000,,Ferronickel,,
2000,8715518.0,General,3112792576.0,357.15520018431494
2000,,Heavy,,
2000,,JRContainer,,
2000,,OtherHeavy,,
2000,,ParcelContainer,,
2000,,Slag,,
2001,,Clinker,,
2001,,Coal,,
2001,,Ferronickel,,
2001,7773795.0,General,2726172422.0,350.6874598571226
2001,,Heavy,,
2001,,JRContainer,,
2001,,OtherHeavy,,
2001,,ParcelContainer,,
2001,,Slag,,
2002,,Clinker,,
2002,,Coal,,
2002,,Ferronickel,,
2002,8154003.0,General,2834305972.0,347.5968762827289
2002,,Heavy,,
2002,,JRContainer,,
2002,,OtherHeavy,,
2002,,ParcelContainer,,
2002,,Slag,,
2003,,Clinker,,
2003,,Coal,,
2003,,Ferronickel,,
2003,8753001.0,General,3014299702.0,344.37328431700166
2003,,Heavy,,
2003,,JRContainer,,
2003,,OtherHeavy,,
2003,,ParcelContainer,,
2003,,Slag,,
2004,,Clinker,,
2004,,Coal,,
2004,,Ferronickel,,
2004,8925206.0,General,3038824455.0,340.4766741518347
2004,,Heavy,,
2004,,JRContainer,,
2004,,OtherHeavy,,
2004,,ParcelContainer,,
2004,,Slag,,
2005,,Clinker,,
2005,,Coal,,
2005,,Ferronickel,,
2005,10034028.0,General,3286679042.0,327.5533058109864
2005,956807.0,Heavy,,
2005,,JRContainer,,
2005,,OtherHeavy,,
2005,,ParcelContainer,,
2005,,Slag,,
2006,,Clinker,,
2006,,Coal,,
2006,,Ferronickel,,
2006,11252745.0,General,3643310023.0,323.7707797519627
2006,1069251.0,Heavy,,
2006,,JRContainer,,
2006,,OtherHeavy,,
2006,,ParcelContainer,,
2006,,Slag,,
2007,,Clinker,,
2007,,Coal,,
2007,,Ferronickel,,
2007,11728968.0,General,3799182609.0,323.91448326911626
2007,1126755.0,Heavy,,
2007,,JRContainer,,
2007,,OtherHeavy,,
2007,,ParcelContainer,,
2007,,Slag,,
2008,,Clinker,,
2008,,Coal,,
2008,,Ferronickel,,
2008,12443420.0,General,4071588192.0,327.20813024072163
2008,1185355.0,Heavy,,
2008,,JRContainer,,
2008,,OtherHeavy,,
2008,,ParcelContainer,,
2008,,Slag,,
2009,,Clinker,,
2009,,Coal,,
2009,,Ferronickel,,
2009,8511304.0,General,2716718366.0,319.1894410069244
2009,799617.0,Heavy,,
2009,,JRContainer,,
2009,,OtherHeavy,,
2009,,ParcelContainer,,
2009,,Slag,,
2010,,Clinker,,
2010,,Coal,,
2010,,Ferronickel,,
2010,9947590.0,General,3173224978.0,318.9943471735365
2010,934111.0,Heavy,,
2010,,JRContainer,,
2010,,OtherHeavy,,
2010,,ParcelContainer,,
2010,,Slag,,
2011,,Clinker,,
2011,,Coal,,
2011,,Ferronickel,,
2011,11678460.0,General,3793862982.0,324.85986868131585
2011,1099956.0,Heavy,,
2011,,JRContainer,,
2011,,OtherHeavy,,
2011,,ParcelContainer,,
2011,,Slag,,
2012,,Clinker,,
2012,,Coal,,
2012,,Ferronickel,,
2012,12109946.0,General,4015982998.0,331.6268295498593
2012,1138665.0,Heavy,,
2012,,JRContainer,,
2012,,OtherHeavy,,
2012,,ParcelContainer,,
2012,,Slag,,
2013,,Clinker,,
2013,,Coal,,
2013,,Ferronickel,,
2013,11852929.0,General,4025551789.0,339.625065585055
2013,1096654.0,Heavy,,
2013,,JRContainer,,
2013,,OtherHeavy,,
2013,,ParcelContainer,,
2013,,Slag,,
2014,,Clinker,,
2014,,Coal,,
2014,,Ferronickel,,
2014,10386279.0,General,3579984011.0,344.6839826852331
2014,944693.0,Heavy,,
