site,facility_type,silo_count_total_group,silo_capacity_kt_total_group
수색,CementSilo,87,515
오류동,CementSilo,87,515
오봉,CementSilo,87,515
수원,CementSilo,87,515
광운대,CementSilo,87,515
덕소,CementSilo,87,515
팔당,CementSilo,87,515
초성리,CementSilo,87,515
부강,CementSilo,87,515
매포,CementSilo,87,515
대전조차장,CementSilo,87,515
신탄진,CementSilo,87,515
흑석리,CementSilo,87,515
연무대,CementSilo,87,515
청주,CementSilo,87,515
음성,CementSilo,87,515
도안,CementSilo,87,515
간치,CementSilo,87,515
신성,CementSilo,87,515
주평,CementSilo,87,515
약목,CementSilo,87,515
신동,CementSilo,87,515
괴동,CementSilo,87,515
가천,CementSilo,87,515
한림정,CementSilo,87,515
북전주,CementSilo,87,515
무릉,CementSilo,87,515
신녕,CementSilo,87,515
극락강,CementSilo,87,515
장성,CementSilo,87,515
부용,CementSilo,87,515
춘천,CementSilo,87,515
남문산,CementSilo,87,515
