tariff_type,description,effective_date,rate_value_won,rate_percent,note
GeneralFreightPerTonKm,1 ton per km,2013-10-01,45.9,,
ContainerPerKm,20ft loaded,2017-01-01,516.0,,
ContainerPerKm,40ft loaded,2017-01-01,800.0,,
ContainerPerKm,45ft loaded,2017-01-01,946.0,,
ContainerEmptyPercent,Empty container percent of loaded rate,2017-01-01,,74.0,Applied to size-specific loaded rates
YardDailyPerSqm,Shed special (일시),2017-01-01,309.0,,
YardDailyPerSqm,Shed A (일시),2017-01-01,238.0,,
YardDailyPerSqm,Shed B (일시),2017-01-01,124.0,,
YardDailyPerSqm,"Open yard special (일시, CY incl.)",2017-01-01,173.0,,
YardDailyPerSqm,"Open yard A (일시, CY incl.)",2017-01-01,124.0,,
YardDailyPerSqm,"Open yard B (일시, CY incl.)",2017-01-01,77.0,,
YardMonthlyPerSqm,Shed special (장기),2017-01-01,3521.0,,
YardMonthlyPerSqm,Shed A (장기),2017-01-01,2709.0,,
YardMonthlyPerSqm,Shed B (장기),2017-01-01,1647.0,,
YardMonthlyPerSqm,"Open yard special (장기, CY incl.)",2017-01-01,1892.0,,
YardMonthlyPerSqm,"Open yard A (장기, CY incl.)",2017-01-01,1366.0,,
YardMonthlyPerSqm,"Open yard B (장기, CY incl.)",2017-01-01,836.0,,
WagonStablingPerTonPerHour,Per ton per hour,2017-01-01,153.0,,
TrackUsagePerWagonPerHour,Per wagon per hour,2017-01-01,513.0,,
ConsignmentChangeCancel,General freight per wagon,2017-01-01,26700.0,,
ConsignmentChangeCancelCharter,Charter train percent of charter fare,2017-01-01,,10.0,
ConsignmentChangeReturn,Change destination / return to origin per wagon,2017-01-01,26700.0,,
EscortFeePerKm,Per km,2017-01-01,300.0,,
WeighbridgeFeePerUse,Per use,2017-01-01,31200.0,,
WagonExclusiveUsePerDay,Per wagon per day,2017-01-01,29200.0,,
TrackStablingPerWagonPerHour,Per wagon per hour,2017-01-01,513.0,,
LocomotiveHourly,Per hour,2017-01-01,226400.0,,
In-yardHandling,Per job (as % of minimum),2017-01-01,,80.0,
MinimumFareCharter,Per train,2017-01-01,3798600.0,,
