seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,day_of_week,main_line_norm,overnight_flag,dep_dt,arr_dt,block_time_min,sched_dur_min,dur_diff_min,est_revenue_won_general
1,3001,화물,정기,하,오봉,3:02:00,부산신항,9:10:00,6:08:00,402.3,일월화수목금토,경부선,,03:02:00,09:10:00,22080,65.59239130434783,Sun,Gyeongbu Line,0,2024-01-07 03:02:00,2024-01-07 09:10:00,368.0,368.0,0.0,22158684.0
1,3001,화물,정기,하,오봉,3:02:00,부산신항,9:10:00,6:08:00,402.3,일월화수목금토,경부선,,03:02:00,09:10:00,22080,65.59239130434783,Mon,Gyeongbu Line,0,2024-01-01 03:02:00,2024-01-01 09:10:00,368.0,368.0,0.0,22158684.0
1,3001,화물,정기,하,오봉,3:02:00,부산신항,9:10:00,6:08:00,402.3,일월화수목금토,경부선,,03:02:00,09:10:00,22080,65.59239130434783,Tue,Gyeongbu Line,0,2024-01-02 03:02:00,2024-01-02 09:10:00,368.0,368.0,0.0,22158684.0
1,3001,화물,정기,하,오봉,3:02:00,부산신항,9:10:00,6:08:00,402.3,일월화수목금토,경부선,,03:02:00,09:10:00,22080,65.59239130434783,Wed,Gyeongbu Line,0,2024-01-03 03:02:00,2024-01-03 09:10:00,368.0,368.0,0.0,22158684.0
1,3001,화물,정기,하,오봉,3:02:00,부산신항,9:10:00,6:08:00,402.3,일월화수목금토,경부선,,03:02:00,09:10:00,22080,65.59239130434783,Thu,Gyeongbu Line,0,2024-01-04 03:02:00,2024-01-04 09:10:00,368.0,368.0,0.0,22158684.0
1,3001,화물,정기,하,오봉,3:02:00,부산신항,9:10:00,6:08:00,402.3,일월화수목금토,경부선,,03:02:00,09:10:00,22080,65.59239130434783,Fri,Gyeongbu Line,0,2024-01-05 03:02:00,2024-01-05 09:10:00,368.0,368.0,0.0,22158684.0
1,3001,화물,정기,하,오봉,3:02:00,부산신항,9:10:00,6:08:00,402.3,일월화수목금토,경부선,,03:02:00,09:10:00,22080,65.59239130434783,Sat,Gyeongbu Line,0,2024-01-06 03:02:00,2024-01-06 09:10:00,368.0,368.0,0.0,22158684.0
2,3002,화물,정기,상,부산신항,4:00:00,오봉,10:00:00,6:00:00,402.3,일화수목금토,경부선,,04:00:00,10:00:00,21600,67.05,Sun,Gyeongbu Line,0,2024-01-07 04:00:00,2024-01-07 10:00:00,360.0,360.0,0.0,22158684.0
2,3002,화물,정기,상,부산신항,4:00:00,오봉,10:00:00,6:00:00,402.3,일화수목금토,경부선,,04:00:00,10:00:00,21600,67.05,Tue,Gyeongbu Line,0,2024-01-02 04:00:00,2024-01-02 10:00:00,360.0,360.0,0.0,22158684.0
2,3002,화물,정기,상,부산신항,4:00:00,오봉,10:00:00,6:00:00,402.3,일화수목금토,경부선,,04:00:00,10:00:00,21600,67.05,Wed,Gyeongbu Line,0,2024-01-03 04:00:00,2024-01-03 10:00:00,360.0,360.0,0.0,22158684.0
