seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,days_en,main_line_norm,overnight_flag
1,3001,화물,정기,하,오봉,3:02:00,부산신항,9:10:00,6:08:00,402.3,일월화수목금토,경부선,,03:02:00,09:10:00,22080,65.59239130434783,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
2,3002,화물,정기,상,부산신항,4:00:00,오봉,10:00:00,6:00:00,402.3,일화수목금토,경부선,,04:00:00,10:00:00,21600,67.05,"['Sun', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
3,3003,화물,정기,하,오봉,3:11:00,부산신항,9:19:00,6:08:00,402.3,화수목금토,경부선,,03:11:00,09:19:00,22080,65.59239130434783,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
4,3004,화물,정기,상,부산신항,7:25:00,오봉,12:23:00,4:58:00,402.3,일화수목금토,경부선,,07:25:00,12:23:00,17880,81.0,"['Sun', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
5,3005,화물,정기,하,오봉,3:30:00,부산신항,9:42:00,6:12:00,402.3,화수목금토,경부선,,03:30:00,09:42:00,22320,64.88709677419355,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
6,3006,화물,정기,상,부산신항,8:30:00,오봉,13:25:00,4:55:00,402.3,화수목금토,경부선,,08:30:00,13:25:00,17700,81.82372881355931,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
7,3007,화물,정기,하,오봉,7:02:00,부산신항,12:05:00,5:03:00,402.3,일화수목금토,경부선,,07:02:00,12:05:00,18180,79.66336633663367,"['Sun', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
8,3008,화물,정기,상,부산신항,9:56:00,오봉,14:55:00,4:59:00,402.3,일화수목금토,경부선,,09:56:00,14:55:00,17940,80.72909698996655,"['Sun', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
9,3009,화물,정기,하,오봉,7:49:00,부산신항,12:37:00,4:48:00,402.3,일화수목금토,경부선,,07:49:00,12:37:00,17280,83.8125,"['Sun', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
10,3010,화물,정기,상,부산신항,15:36:00,오봉,20:27:00,4:51:00,402.3,월화수목금,경부선,,15:36:00,20:27:00,17460,82.94845360824743,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,0
11,3011,화물,정기,하,오봉,10:07:00,부산신항,15:00:00,4:53:00,402.3,화수목금토,경부선,,10:07:00,15:00:00,17580,82.38225255972696,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
12,3012,화물,정기,상,부산신항,17:18:00,오봉,22:13:00,4:55:00,402.3,일월화수목금토,경부선,,17:18:00,22:13:00,17700,81.82372881355931,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
13,3013,화물,정기,하,오봉,15:10:00,부산신항,20:24:00,5:14:00,402.3,화수목금토,경부선,,15:10:00,20:24:00,18840,76.87261146496816,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
14,3014,화물,정기,상,부산신항,18:19:00,오봉,23:31:00,5:12:00,402.3,월화수목금,경부선,,18:19:00,23:31:00,18720,77.36538461538461,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,0
15,3015,화물,정기,하,오봉,16:47:00,부산신항,21:49:00,5:02:00,402.3,일화수목금토,경부선,,16:47:00,21:49:00,18120,79.9271523178808,"['Sun', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
16,3016,화물,정기,상,부산신항,21:10:00,오봉,3:13:00,6:03:00,402.3,월화수목금,경부선,,21:10:00,03:13:00,21780,66.49586776859505,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,1
17,3017,화물,정기,하,오봉,18:37:00,부산신항,23:35:00,4:58:00,402.3,월화수목금토,경부선,,18:37:00,23:35:00,17880,81.0,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
18,3018,화물,정기,상,부산신항,21:50:00,오봉,3:58:00,6:08:00,402.3,일월화수목금토,경부선,,21:50:00,03:58:00,22080,65.59239130434783,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,1
19,3019,화물,정기,하,오봉,21:10:00,부산신항,3:05:00,5:55:00,402.3,월화수목금,경부선,,21:10:00,03:05:00,21300,67.9943661971831,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,1
20,3020,화물,정기,상,부산신항,22:00:00,오봉,4:10:00,6:10:00,402.3,월화수목금,경부선,,22:00:00,04:10:00,22200,65.23783783783783,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,1
21,3021,화물,정기,하,오봉,9:46:00,부산진,14:31:00,4:45:00,410.4,화수목금토,경부선,,09:46:00,14:31:00,17100,86.39999999999999,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
22,3022,화물,정기,상,부산진,5:12:00,오봉,11:44:00,6:32:00,410.4,화수목금토,경부선,,05:12:00,11:44:00,23520,62.816326530612244,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
23,3023,화물,정기,하,오봉,11:26:00,부산진,16:20:00,4:54:00,410.4,화수목금토,경부선,,11:26:00,16:20:00,17640,83.75510204081631,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
24,3024,화물,정기,상,부산진,12:35:00,오봉,17:35:00,5:00:00,410.4,월화수목금,경부선,,12:35:00,17:35:00,18000,82.08,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,0
25,3025,화물,정기,하,오봉,20:41:00,부산진,2:33:00,5:52:00,410.4,월화수목금,경부선,,20:41:00,02:33:00,21120,69.95454545454545,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,1
26,3026,화물,정기,상,부산진,16:45:00,오봉,21:40:00,4:55:00,410.4,화수목금토,경부선,,16:45:00,21:40:00,17700,83.47118644067795,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
27,3027,화물,정기,하,오봉,20:50:00,부산진,3:00:00,6:10:00,410.4,월화수목금토,경부선,,20:50:00,03:00:00,22200,66.55135135135134,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,1
28,3028,화물,정기,상,부산진,21:20:00,오봉,3:36:00,6:16:00,410.4,월화수목금토,경부선,,21:20:00,03:36:00,22560,65.48936170212765,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,1
29,3041,화물,정기,하,삽교,13:08:00,부산신항,19:37:00,6:29:00,377.7,일월화수목금토,경부선,,13:08:00,19:37:00,23340,58.25706940874036,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
30,3042,화물,정기,상,부산신항,4:10:00,삽교,10:50:00,6:40:00,377.7,일월화수목금토,경부선,,04:10:00,10:50:00,24000,56.654999999999994,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
31,3043,화물,정기,하,삽교,20:50:00,부산신항,2:54:00,6:04:00,377.7,일월화수목금토,경부선,,20:50:00,02:54:00,21840,62.25824175824176,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,1
32,3044,화물,정기,상,부산신항,11:42:00,삽교,17:49:00,6:07:00,377.7,일월화수목금토,경부선,,11:42:00,17:49:00,22020,61.74931880108992,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
33,3049,화물,정기,하,천안,14:19:00,부산신항,19:49:00,5:30:00,335.2,월화수목금,경부선,,14:19:00,19:49:00,19800,60.945454545454545,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,0
34,3050,화물,정기,상,부산신항,4:20:00,천안,10:10:00,5:50:00,335.2,월화수목금,경부선,,04:20:00,10:10:00,21000,57.462857142857146,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,0
35,3053,화물,정기,하,부강화물,15:35:00,부산진,20:16:00,4:41:00,303.0,월화수목금토,경부선,,15:35:00,20:16:00,16860,64.69750889679715,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
36,3054,화물,정기,상,부산진,5:53:00,부강화물,10:34:00,4:41:00,303.0,월화수목금토,경부선,,05:53:00,10:34:00,16860,64.69750889679715,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
37,3057,화물,정기,하,부강화물,15:50:00,부산신항,21:15:00,5:25:00,294.9,월화수목금토,경부선,,15:50:00,21:15:00,19500,54.443076923076916,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
38,3058,화물,정기,상,부산신항,4:53:00,부강화물,10:13:00,5:20:00,294.9,월화수목금토,경부선,,04:53:00,10:13:00,19200,55.293749999999996,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
39,3061,화물,정기,하,약목,17:40:00,부산신항,20:02:00,2:22:00,142.3,월화수목금토,경부선,,17:40:00,20:02:00,8520,60.12676056338029,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
40,3062,화물,정기,상,부산신항,12:01:00,약목,14:16:00,2:15:00,142.3,월화수목금토,경부선,,12:01:00,14:16:00,8100,63.24444444444445,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
41,3063,화물,정기,하,약목,12:30:00,부산진,14:46:00,2:16:00,150.4,화수목금토,경부선,,12:30:00,14:46:00,8160,66.3529411764706,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
42,3064,화물,정기,상,부산진,4:40:00,약목,6:57:00,2:17:00,150.4,화수목금토,경부선,,04:40:00,06:57:00,8220,65.86861313868614,"['Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
43,3071,화물,정기,하,오봉,5:15:00,신광양항,12:08:00,6:53:00,385.9,월화수목금토,전라선,,05:15:00,12:08:00,24780,56.06295399515738,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jeolla Line,0
44,3072,화물,정기,상,신광양항,15:00:00,오봉,21:27:00,6:27:00,385.9,월화수목금토,전라선,,15:00:00,21:27:00,23220,59.82945736434108,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jeolla Line,0
45,3073,화물,정기,하,황등,8:55:00,신광양항,13:09:00,4:14:00,172.5,월화수목금,전라선,,08:55:00,13:09:00,15240,40.74803149606299,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Jeolla Line,0
46,3074,화물,정기,상,신광양항,14:20:00,황등,17:39:00,3:19:00,172.5,월화수목금,전라선,,14:20:00,17:39:00,11940,52.01005025125628,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Jeolla Line,0
47,3075,화물,정기,하,동산,12:45:00,신광양항,15:30:00,2:45:00,148.2,월화수목금토,전라선,,12:45:00,15:30:00,9900,53.89090909090908,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jeolla Line,0
