payload_ton,fleet_count,closed_wagon,open_wagon,flat_wagon,parcel,tank_wagon,guard_wagon,ballast_wagon
0.0,13,0,0,0,0,0,13,0
15.0,62,0,0,0,16,0,22,24
20.7,38,0,0,0,0,38,0,0
25.0,35,0,0,0,0,35,0,0
28.3,11,11,0,0,0,0,0,0
40.0,7,0,0,0,0,7,0,0
47.5,543,516,0,27,0,0,0,0
48.0,2113,0,765,1094,0,254,0,0
50.0,151,114,14,0,0,23,0,0
51.0,117,0,0,117,0,0,0,0
51.5,2287,114,0,502,0,1671,0,0
52.0,209,30,77,102,0,0,0,0
53.0,290,0,290,0,0,0,0,0
53.8,1137,0,1023,114,0,0,0,0
54.0,21,0,0,21,0,0,0,0
54.5,19,0,19,0,0,0,0,0
55.0,13,0,0,13,0,0,0,0
55.8,348,0,0,348,0,0,0,0
56.5,21,0,0,3,0,18,0,0
60.0,50,0,0,0,0,50,0,0
61.2,506,0,0,506,0,0,0,0
62.6,5,0,0,0,0,5,0,0
66.0,135,0,0,135,0,0,0,0
70.0,1,0,0,1,0,0,0,0
90.0,1,0,0,1,0,0,0,0
100.0,1,0,0,1,0,0,0,0
165.0,1,0,0,1,0,0,0,0
