tare_ton,wagon_subtype,subtype_count
16.6,closed_wagon,785
17.5,closed_wagon,0
17.7,closed_wagon,0
18.1,closed_wagon,0
18.2,closed_wagon,0
18.5,closed_wagon,0
19.3,closed_wagon,0
19.4,closed_wagon,0
19.5,closed_wagon,0
19.7,closed_wagon,0
19.9,closed_wagon,0
20.0,closed_wagon,0
20.1,closed_wagon,0
20.2,closed_wagon,0
20.3,closed_wagon,0
20.4,closed_wagon,0
20.5,closed_wagon,0
20.6,closed_wagon,0
20.7,closed_wagon,0
20.8,closed_wagon,0
21.1,closed_wagon,0
21.2,closed_wagon,0
21.3,closed_wagon,0
21.4,closed_wagon,0
21.6,closed_wagon,0
21.7,closed_wagon,0
22.0,closed_wagon,0
22.1,closed_wagon,0
22.2,closed_wagon,0
22.3,closed_wagon,0
22.5,closed_wagon,0
22.6,closed_wagon,30
22.7,closed_wagon,0
22.8,closed_wagon,0
22.9,closed_wagon,0
23.0,closed_wagon,0
23.1,closed_wagon,0
23.5,closed_wagon,94
23.8,closed_wagon,54
24.0,closed_wagon,0
24.1,closed_wagon,0
24.2,closed_wagon,0
24.5,closed_wagon,80
24.8,closed_wagon,0
25.0,closed_wagon,0
25.2,closed_wagon,0
25.5,closed_wagon,0
25.6,closed_wagon,0
25.9,closed_wagon,0
26.0,closed_wagon,142
26.1,closed_wagon,0
26.3,closed_wagon,0
26.5,closed_wagon,0
26.8,closed_wagon,0
27.2,closed_wagon,11
27.5,closed_wagon,25
27.6,closed_wagon,0
27.8,closed_wagon,100
27.9,closed_wagon,0
28.0,closed_wagon,0
34.4,closed_wagon,249
35.0,closed_wagon,0
37.0,closed_wagon,0
37.2,closed_wagon,0
38.0,closed_wagon,0
48.7,closed_wagon,0
54.0,closed_wagon,0
54.1,closed_wagon,0
90.0,closed_wagon,0
16.6,tank_wagon,2188
17.5,tank_wagon,0
17.7,tank_wagon,0
18.1,tank_wagon,0
18.2,tank_wagon,0
18.5,tank_wagon,0
19.3,tank_wagon,0
19.4,tank_wagon,97
19.5,tank_wagon,20
19.7,tank_wagon,102
