Year,Total TWh,EF_grid (gCO₂/kWh),EF_electric (gCO₂/GTK),Coal share (%),Nuclear share (%),Renewables share (%),ΔEF_grid vs 2018 (%),ΔEF_elec vs 2018 (%)
2010,499.5,425.63,17.876,41.8,29.7,1.8,-7.12,-7.13
2011,523.3,449.73,18.889,41.9,29.6,2.0,-1.87,-1.87
2012,534.6,455.91,19.148,42.0,28.1,2.0,-0.52,-0.52
2013,542.0,473.33,19.88,44.2,25.6,2.4,3.28,3.28
2014,550.9,469.24,19.708,40.4,28.4,2.4,2.39,2.39
2015,552.7,464.4,19.505,41.9,29.8,2.6,1.34,1.34
2016,562.6,452.37,18.999,42.1,28.8,3.5,-1.29,-1.29
2017,566.9,454.62,19.094,41.4,26.2,4.0,-0.8,-0.8
2018,590.1,458.28,19.248,43.3,22.6,4.5,0.0,0.0
2019,581.3,493.66,20.734,44.4,25.1,5.4,7.72,7.72
2020,553.1,483.09,20.29,42.4,27.6,6.6,5.41,5.41
2021,579.0,406.62,17.078,34.4,26.0,7.1,-11.27,-11.27
2022,583.2,424.94,17.848,34.9,28.7,8.3,-7.28,-7.27
2023,565.8,416.77,17.504,34.4,30.4,8.9,-9.06,-9.06
2024,580.9,379.78,15.951,31.1,30.9,10.1,-17.13,-17.13
