Corridor,λ,VSS (B KRW),E[RP] (B KRW),VSS/E[RP] (%)
Gyeongbu,0.1,0.9013,9.7557,9.239
Gyeongbu,0.2,0.9023,10.0401,8.987
Gyeongbu,0.3,0.9032,10.3244,8.748
Gyeongbu,0.4,0.9003,10.6086,8.487
Gyeongbu,0.5,0.9013,10.893,8.274
Gyeongbu,0.6,0.9021,11.1772,8.071
Gyeongbu,0.7,0.9031,11.4615,7.879
Gyeongbu,0.8,0.9001,11.7457,7.663
Gyeongbu,0.9,0.9011,12.0301,7.491
Chungbuk,0.1,0.4982,5.2214,9.541
Chungbuk,0.2,0.4948,5.374,9.208
Chungbuk,0.3,0.4955,5.5264,8.966
Chungbuk,0.4,0.4964,5.679,8.742
Chungbuk,0.5,0.4974,5.8316,8.529
Chungbuk,0.6,0.4983,5.9842,8.326
Chungbuk,0.7,0.4949,6.1368,8.065
Chungbuk,0.8,0.4956,6.2891,7.88
Chungbuk,0.9,0.4965,6.4418,7.708
Yeongdong,0.1,0.4579,4.7346,9.67
Yeongdong,0.2,0.4583,4.8734,9.405
Yeongdong,0.3,0.4545,5.0121,9.069
Yeongdong,0.4,0.4549,5.1508,8.832
Yeongdong,0.5,0.4552,5.2893,8.606
Yeongdong,0.6,0.4556,5.428,8.394
Yeongdong,0.7,0.456,5.5667,8.192
Yeongdong,0.8,0.4565,5.7055,8.001
Yeongdong,0.9,0.4569,5.8441,7.818
Jungang,0.1,0.3771,4.0437,9.327
Jungang,0.2,0.3768,4.1614,9.054
Jungang,0.3,0.3766,4.2794,8.8
Jungang,0.4,0.3764,4.3973,8.559
Jungang,0.5,0.38,4.5152,8.416
Jungang,0.6,0.3797,4.6331,8.195
Jungang,0.7,0.3794,4.751,7.986
Jungang,0.8,0.3792,4.8689,7.788
Jungang,0.9,0.3789,4.9868,7.598
