Corridor,λ_base,σ_D (M tkm),σ_D/λ independent,Demand_mean (M tkm),K-ETS Scenario,K-ETS (k KRW/tCO₂e),E[RP] (B KRW),E[EEV] (B KRW),VSS (B KRW),VSS / E[RP] (%),ΔVSS vs S1 (%)
Gyeongbu,0.65,258.4,YES  [P-EXP5],3859.6,S1 (2023),8.7,9.1466,8.3034,0.8433,9.219,0.0
Gyeongbu,0.65,258.4,YES  [P-EXP5],3859.6,S2 (2018),21.8,11.3193,10.4187,0.9007,7.957,6.81
Gyeongbu,0.65,258.4,YES  [P-EXP5],3859.6,S3 (2020),30.0,12.6645,11.7283,0.9362,7.392,11.02
Gyeongbu,0.65,258.4,YES  [P-EXP5],3859.6,S4 (2019),36.5,13.7373,12.7727,0.9645,7.021,14.37
Gyeongbu,0.65,258.4,YES  [P-EXP5],3859.6,S5 (NDC),50.0,15.9652,14.9418,1.0234,6.41,21.36
Chungbuk,0.45,138.6,YES  [P-EXP5],1967.1,S1 (2023),8.7,4.65,4.1855,0.4645,9.99,0.0
Chungbuk,0.45,138.6,YES  [P-EXP5],1967.1,S2 (2018),21.8,5.7554,5.2605,0.4949,8.599,6.54
Chungbuk,0.45,138.6,YES  [P-EXP5],1967.1,S3 (2020),30.0,6.4398,5.9261,0.5137,7.977,10.59
Chungbuk,0.45,138.6,YES  [P-EXP5],1967.1,S4 (2019),36.5,6.9856,6.4569,0.5287,7.568,13.82
Chungbuk,0.45,138.6,YES  [P-EXP5],1967.1,S5 (NDC),50.0,8.1192,7.5593,0.5598,6.895,20.52
Yeongdong,0.25,126.0,YES  [P-EXP5],1693.7,S1 (2023),8.7,3.9931,3.563,0.4301,10.771,0.0
Yeongdong,0.25,126.0,YES  [P-EXP5],1693.7,S2 (2018),21.8,4.9427,4.4863,0.4564,9.233,6.11
Yeongdong,0.25,126.0,YES  [P-EXP5],1693.7,S3 (2020),30.0,5.5306,5.058,0.4726,8.545,9.88
Yeongdong,0.25,126.0,YES  [P-EXP5],1693.7,S4 (2019),36.5,5.9994,5.5138,0.4856,8.094,12.9
Yeongdong,0.25,126.0,YES  [P-EXP5],1693.7,S5 (NDC),50.0,6.9731,6.4606,0.5125,7.35,19.16
Jungang,0.3,107.1,YES  [P-EXP5],1459.7,S1 (2023),8.7,3.4571,3.1051,0.352,10.181,0.0
Jungang,0.3,107.1,YES  [P-EXP5],1459.7,S2 (2018),21.8,4.2794,3.9028,0.3766,8.8,6.99
Jungang,0.3,107.1,YES  [P-EXP5],1459.7,S3 (2020),30.0,4.7885,4.3967,0.3918,8.183,11.31
Jungang,0.3,107.1,YES  [P-EXP5],1459.7,S4 (2019),36.5,5.1945,4.7905,0.404,7.777,14.77
Jungang,0.3,107.1,YES  [P-EXP5],1459.7,S5 (NDC),50.0,6.0378,5.6085,0.4292,7.109,21.93
