Corridor,K-ETS Scenario,λ CI lower,λ CI upper,VSS min in CI,VSS max in CI,VSS @ λ_expert,VSS @ λ_tri,VSS > 0 throughout?,Range (% of expert)
Gyeongbu,S1 (2023),0.74,0.87,0.8533,0.8578,0.8541,0.8538,YES ✓,0.53
Gyeongbu,S2 (2018),0.74,0.87,0.9116,0.9154,0.9122,0.912,YES ✓,0.42
Gyeongbu,S4 (2019),0.74,0.87,0.9763,0.9794,0.9769,0.9767,YES ✓,0.31
Gyeongbu,S5 (NDC),0.74,0.87,1.036,1.0384,1.0364,1.0363,YES ✓,0.22
Chungbuk,S1 (2023),0.672,0.791,0.4601,0.465,0.4613,0.4629,YES ✓,1.06
Chungbuk,S2 (2018),0.672,0.791,0.4906,0.4948,0.4915,0.4929,YES ✓,0.86
Chungbuk,S4 (2019),0.672,0.791,0.5244,0.5279,0.5252,0.5264,YES ✓,0.66
Chungbuk,S5 (NDC),0.672,0.791,0.5556,0.5584,0.5563,0.5572,YES ✓,0.5
Yeongdong,S1 (2023),0.023,0.121,0.4245,0.4293,0.427,0.4252,YES ✓,1.11
Yeongdong,S2 (2018),0.023,0.121,0.4513,0.4554,0.4534,0.4519,YES ✓,0.9
Yeongdong,S4 (2019),0.023,0.121,0.4811,0.4844,0.4828,0.4816,YES ✓,0.69
Yeongdong,S5 (NDC),0.023,0.121,0.5086,0.5112,0.5099,0.5089,YES ✓,0.52
Jungang,S1 (2023),0.129,0.228,0.3508,0.3554,0.3513,0.3534,YES ✓,1.3
Jungang,S2 (2018),0.129,0.228,0.375,0.3789,0.3755,0.3773,YES ✓,1.03
Jungang,S4 (2019),0.129,0.228,0.402,0.4051,0.4023,0.4038,YES ✓,0.77
Jungang,S5 (NDC),0.129,0.228,0.4268,0.4292,0.4271,0.4282,YES ✓,0.56
